;Year;Quarter;Haul;Age;Count
345;2018;3;2018:3:SCO:SCO3:GOV:222:222;4;3
346;2018;3;2018:3:SCO:SCO3:GOV:224:224;4;1
347;2018;3;2018:3:SCO:SCO3:GOV:225:225;4;2
348;2018;3;2018:3:SCO:SCO3:GOV:227:227;4;3
349;2018;3;2018:3:SCO:SCO3:GOV:229:229;4;33
350;2018;3;2018:3:SCO:SCO3:GOV:235:235;4;3
351;2018;3;2018:3:SWE:DANS:GOV:124:35;4;1
352;2018;3;2018:3:SWE:DANS:GOV:126:36;4;1
353;2018;3;2018:3:SWE:DANS:GOV:23:2;4;1
354;2018;3;2018:3:SWE:DANS:GOV:24:3;4;2
355;2018;3;2018:3:SWE:DANS:GOV:83:16;4;2
356;2015;1;2015:1:DEN:DAN2:GOV:11:4;1;3
357;2015;1;2015:1:DEN:DAN2:GOV:115:30;1;1
358;2015;1;2015:1:DEN:DAN2:GOV:138:35;1;1
359;2015;1;2015:1:DEN:DAN2:GOV:162:41;1;1
360;2015;1;2015:1:DEN:DAN2:GOV:24:6;1;1
361;2015;1;2015:1:DEN:DAN2:GOV:26:7;1;1
362;2015;1;2015:1:DEN:DAN2:GOV:28:8;1;1
363;2015;1;2015:1:DEN:DAN2:GOV:42:11;1;1
364;2015;1;2015:1:DEN:DAN2:GOV:49:12;1;1
365;2015;1;2015:1:DEN:DAN2:GOV:50:13;1;8
366;2015;1;2015:1:DEN:DAN2:GOV:52:14;1;8
367;2015;1;2015:1:DEN:DAN2:GOV:61:15;1;1
368;2015;1;2015:1:DEN:DAN2:GOV:64:17;1;2
369;2015;1;2015:1:DEN:DAN2:GOV:8:2;1;5
370;2015;1;2015:1:DEN:DAN2:GOV:81:22;1;1
371;2015;1;2015:1:DEN:DAN2:GOV:9:3;1;5
372;2015;1;2015:1:DEN:DAN2:GOV:92:25;1;1
373;2015;1;2015:1:FRA:THA2:GOV:T0064:35;1;1
374;2015;1;2015:1:FRA:THA2:GOV:T0077:39;1;2
