;Year;Quarter;Bootstrap;ALK;age;mCPUE;boostrapMean;median;Q025;Q975;L;U;sd;RSE;Width CI-95
122;2016;Q3;Stratified;haul based;2;4,884145713;3,938139266;3,906329533;2,562597286;5,285653571;3,128691608;5,643187176;0,961062079;0,196771787;2,514495568
123;2016;Q3;Stratified;haul based;3;4,12773675;3,838701059;3,85326177;3,09563937;4,567190641;3,66235576;4,731374432;0,371479674;0,08999597;1,069018672
124;2016;Q3;Stratified;haul based;4;2,083616914;2,064694025;2,06359572;1,770840315;2,358947351;1,814150729;2,415710523;0,151822471;0,072864868;0,601559794
125;2016;Q3;Stratified;haul based;5;0,480354346;0,432379702;0,435166314;0,321613209;0,539563164;0,410479767;0,599903056;0,05744612;0,119591133;0,189423289
126;2016;Q3;Stratified;haul based;6+;0,539574492;0,485411696;0,486753786;0,395278346;0,576537079;0,496253185;0,604844721;0,047980978;0,088923732;0,108591536
127;2015;Q1;ICES-IBTS;area based;0;0;0;0;0;0;0;0;0;#N/A;0
128;2015;Q1;ICES-IBTS;area based;1;3,343839374;3,466775129;3,433199095;2,502802231;4,494110455;2,336603211;4,22764723;0,483684651;0,144649487;1,89104402
129;2015;Q1;ICES-IBTS;area based;2;10,54750673;11,07906369;10,67785631;7,795093362;16,0696076;7,654685081;15,60958224;2,189518795;0,207586385;7,954897158
130;2015;Q1;ICES-IBTS;area based;3;5,199587603;5,248992967;5,249426913;3,924968644;6,599849265;3,769885199;6,536984823;0,687714211;0,132263222;2,767099625
131;2015;Q1;ICES-IBTS;area based;4;1,80766137;1,790104149;1,771530321;1,156169914;2,463665857;1,276265889;2,572313035;0,329200113;0,182113817;1,296047146
132;2015;Q1;ICES-IBTS;area based;5;0,625671837;0,579210211;0,562803704;0,356805477;0,866227534;0,455012991;1,026519818;0,132539134;0,211834904;0,571506827
133;2015;Q1;ICES-IBTS;area based;6+;0,531783572;0,455198976;0,440792807;0,246051743;0,760115073;0,370012193;1,012636264;0,134459454;0,252846198;0,642624071
134;2015;Q1;Modified-ICES;area based;0;0;0;0;0;0;0;0;0;#N/A;0
135;2015;Q1;Modified-ICES;area based;1;3,343839374;3,860772885;3,848911064;3,107679726;4,795938743;2,663393815;3,634331494;0,434366492;0,129900525;0,970937679
136;2015;Q1;Modified-ICES;area based;2;10,54750673;10,78234557;10,79723432;8,515449466;13,03202843;8,157291749;12,81428099;1,239851699;0,117549268;4,656989242
137;2015;Q1;Modified-ICES;area based;3;5,199587603;5,336915609;5,322726134;4,462235056;6,219621316;4,241841043;5,985434225;0,457179211;0,087926052;1,743593182
138;2015;Q1;Modified-ICES;area based;4;1,80766137;1,858433094;1,864273674;1,420668105;2,307823722;1,335833169;2,199490296;0,239359544;0,132413929;0,863657127
139;2015;Q1;Modified-ICES;area based;5;0,625671837;0,668585212;0,665918541;0,446626674;0,906927494;0,374995392;0,839819298;0,123184451;0,196883484;0,464823906
140;2015;Q1;Modified-ICES;area based;6+;0,531783572;0,613389768;0,617285058;0,353636913;0,874490629;0,315971489;0,720228681;0,139679729;0,262662738;0,404257192
141;2015;Q1;Stratified;haul based;0;0;0;0;0;0;0;0;0;#N/A;0
142;2015;Q1;Stratified;haul based;1;3,287651365;3,808171676;3,795846167;3,047559443;4,735671503;2,622544946;3,562549089;0,431137764;0,131138529;0,940004143
143;2015;Q1;Stratified;haul based;2;10,4973185;10,68669517;10,65532332;8,479846481;12,96349901;8,188855447;12,71355839;1,203283069;0,114627661;4,524702942
144;2015;Q1;Stratified;haul based;3;5,1418046;5,317514709;5,322278091;4,424820471;6,249141996;4,153839862;5,925905917;0,474179252;0,092220395;1,772066055
145;2015;Q1;Stratified;haul based;4;1,895960889;1,940666923;1,933234312;1,495008575;2,377625452;1,441975337;2,286382322;0,232970291;0,122877161;0,844406985
146;2015;Q1;Stratified;haul based;5;0,668600275;0,717141344;0,716477528;0,4752703;0,964799968;0,398630089;0,876720291;0,13123782;0,196287416;0,478090201
147;2015;Q1;Stratified;haul based;6+;0,56471486;0,650252313;0,651357499;0,364503539;0,922106795;0,324057427;0,773511401;0,150996387;0,267385184;0,449453974
148;2015;Q3;ICES-IBTS;area based;0;0,098924095;0,105691427;0,103032406;0,046169878;0,188950165;0,040592674;0,179901708;0,037404665;0,378114808;0,139309034
149;2015;Q3;ICES-IBTS;area based;1;4,194802742;4,238150766;4,127060228;2,864560931;6,237471606;2,95585142;6,321392618;0,848008745;0,202157002;3,365541199
150;2015;Q3;ICES-IBTS;area based;2;8,707931506;8,455700613;8,145492824;6,078382641;11,93615472;6,539589406;12,75934638;1,593975532;0,183048699;6,219756978
151;2015;Q3;ICES-IBTS;area based;3;3,384624699;3,212940893;3,194820403;2,498528616;4,062054261;2,827224628;4,565948632;0,413405816;0,122142291;1,738724004
152;2015;Q3;ICES-IBTS;area based;4;1,236887855;1,200070954;1,195489532;0,857630112;1,583597829;0,958449471;1,698340922;0,180323633;0,145788183;0,739891451
153;2015;Q3;ICES-IBTS;area based;5;0,435445503;0,410435675;0,409576587;0,256207425;0,578664567;0,303907324;0,658174737;0,084385903;0,19379211;0,354267413
154;2015;Q3;ICES-IBTS;area based;6+;0,471322158;0,45462787;0,451400408;0,271457101;0,710748105;0,292142416;0,75224424;0,111403239;0,236363253;0,460101824
155;2015;Q3;Modified-ICES;area based;0;0,098924095;0,084807459;0,084655175;0,045794355;0,126442101;0,072060183;0,150622529;0,020650674;0,208752717;0,078562346
156;2015;Q3;Modified-ICES;area based;1;4,194802742;3,684072405;3,692709371;2,766659475;4,692739838;3,734873267;5,222361177;0,485728329;0,115792889;1,48748791
157;2015;Q3;Modified-ICES;area based;2;8,707931506;8,411610835;8,437791366;6,517848913;10,36985281;6,897823314;10,7000155;1,114406104;0,127975984;3,802192183
158;2015;Q3;Modified-ICES;area based;3;3,384624699;3,182620261;3,175165313;2,67195339;3,739948964;3,132472165;3,990620043;0,259630349;0,076708756;0,858147878
159;2015;Q3;Modified-ICES;area based;4;1,236887855;1,134824591;1,131591998;0,921908426;1,360463225;1,112926386;1,444863479;0,11171457;0,090319078;0,331937093
160;2015;Q3;Modified-ICES;area based;5;0,435445503;0,431018901;0,428417351;0,32160213;0,554959723;0,341273589;0,571954156;0,056875586;0,130614706;0,230680567
161;2015;Q3;Modified-ICES;area based;6+;0,471322158;0,454000232;0,459723383;0,305181037;0,605560089;0,328806754;0,622889504;0,076716688;0,162769109;0,29408275
162;2015;Q3;Stratified;haul based;0;0,098924095;0,084807459;0,084655175;0,045794355;0,126442101;0,072060183;0,150622529;0,020650674;0,208752717;0,078562346
163;2015;Q3;Stratified;haul based;1;4,135573183;3,633035451;3,648462706;2,717021768;4,626464794;3,708537008;5,150388855;0,480085628;0,116086841;1,441851846
164;2015;Q3;Stratified;haul based;2;8,675131264;8,380695294;8,415035465;6,455313048;10,31343751;6,848203494;10,74841983;1,111703772;0,128148352;3,90021634
165;2015;Q3;Stratified;haul based;3;3,395005497;3,215838315;3,221679889;2,674545912;3,758279544;3,073224578;4,086310425;0,266711849;0,078560064;1,013085847
166;2015;Q3;Stratified;haul based;4;1,319385862;1,183331205;1,178115361;0,948598399;1,431284132;1,202975146;1,50585405;0,122929749;0,093171947;0,302878903
167;2015;Q3;Stratified;haul based;5;0,41627297;0,420703926;0,417663477;0,31196727;0,539177747;0,306672456;0,535664272;0,056746046;0,136319314;0,228991816
168;2015;Q3;Stratified;haul based;6+;0,489645687;0,464543032;0,466801075;0,314321507;0,620170215;0,353491227;0,642663946;0,078116345;0,159536471;0,289172719
